Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
overweight,male,vegan,daily,electricity,private,diesel,often,184,never,5792,large,3,1,32,18,Yes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",3129
underweight,male,vegan,less frequently,electricity,private,lpg,never,279,frequently,1222,large,3,5,32,4,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2130
normal,male,vegetarian,twice a day,coal,private,lpg,never,168,frequently,2363,large,2,16,42,13,Yes,"['Paper', 'Plastic']",['Oven'],2746
overweight,female,vegan,less frequently,natural gas,private,hybrid,sometimes,127,never,2740,small,3,9,17,24,Sometimes,"['Plastic', 'Metal']","['Stove', 'Microwave']",1381
obese,female,vegetarian,more frequently,wood,private,lpg,sometimes,147,frequently,942,small,1,2,34,0,Yes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2147
overweight,male,omnivore,less frequently,natural gas,private,electric,sometimes,77,very frequently,7699,medium,2,15,37,4,Yes,[],['Oven'],3038
underweight,male,pescatarian,less frequently,wood,private,hybrid,often,161,very frequently,7724,small,4,13,11,23,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",3725
underweight,female,vegan,less frequently,electricity,private,electric,sometimes,251,rarely,8406,small,1,24,4,22,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",606
overweight,male,pescatarian,less frequently,wood,private,lpg,often,209,very frequently,8773,extra large,6,17,34,2,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",6093
obese,male,vegetarian,twice a day,wood,private,diesel,sometimes,268,frequently,3731,extra large,3,22,49,14,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",4130
obese,male,vegan,twice a day,wood,private,electric,often,74,frequently,8155,large,6,13,47,18,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2935
obese,female,vegan,more frequently,electricity,private,lpg,sometimes,84,never,9425,large,1,9,22,13,No,"['Paper', 'Plastic']",['Oven'],3495
normal,male,vegetarian,more frequently,wood,private,petrol,never,208,frequently,3150,extra large,3,8,49,19,Yes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",3425
overweight,female,vegetarian,twice a day,coal,private,diesel,sometimes,189,frequently,3220,large,2,9,49,1,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2686
overweight,female,omnivore,twice a day,electricity,private,electric,sometimes,138,rarely,298,small,1,7,19,11,Sometimes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1009
overweight,male,omnivore,more frequently,coal,private,diesel,often,68,very frequently,502,large,5,14,1,19,Sometimes,['Glass'],['Oven'],3218
normal,male,pescatarian,less frequently,electricity,private,diesel,often,135,frequently,1743,small,1,20,37,0,Yes,['Plastic'],['Oven'],2281
normal,female,omnivore,more frequently,coal,private,diesel,often,250,frequently,3974,extra large,7,5,25,17,Yes,"['Paper', 'Plastic', 'Metal']",['Stove'],3482
underweight,male,omnivore,less frequently,coal,private,diesel,often,241,never,3080,small,6,6,30,19,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']",2542
obese,male,vegan,more frequently,electricity,private,diesel,never,102,never,4334,small,2,14,31,21,No,['Metal'],"['Stove', 'Oven', 'Microwave']",2386
normal,male,omnivore,more frequently,electricity,private,lpg,often,69,rarely,2352,medium,6,1,1,14,No,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",1991
obese,female,vegetarian,daily,wood,private,hybrid,often,54,frequently,8443,medium,1,3,19,21,Sometimes,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3202
underweight,female,vegan,more frequently,coal,private,diesel,sometimes,65,very frequently,9969,small,3,24,28,19,Sometimes,['Plastic'],"['Stove', 'Oven']",4350
obese,female,vegetarian,twice a day,natural gas,private,diesel,sometimes,86,frequently,9844,small,5,13,24,22,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",4570
overweight,male,vegetarian,less frequently,coal,private,electric,often,114,rarely,3711,medium,5,8,19,16,No,"['Plastic', 'Glass', 'Metal']",['Stove'],1761
obese,female,vegan,twice a day,coal,private,hybrid,sometimes,291,never,4132,extra large,1,20,38,21,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",2309
normal,female,vegetarian,more frequently,electricity,private,lpg,sometimes,226,frequently,9122,medium,1,2,42,17,Yes,"['Paper', 'Glass', 'Metal']",[],3542
underweight,female,pescatarian,twice a day,natural gas,private,lpg,often,71,frequently,1812,extra large,4,7,22,3,No,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2070
overweight,male,vegan,more frequently,natural gas,private,hybrid,never,61,very frequently,5815,medium,2,2,27,4,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",3261
overweight,male,pescatarian,more frequently,wood,private,petrol,often,99,never,6507,extra large,2,15,20,0,No,['Plastic'],"['Stove', 'Microwave']",4220
obese,female,omnivore,twice a day,electricity,private,hybrid,often,174,very frequently,8951,extra large,7,14,40,24,No,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",5474
underweight,male,omnivore,daily,electricity,private,petrol,never,93,frequently,2620,extra large,7,4,5,1,Sometimes,"['Paper', 'Plastic']",[],2865
obese,male,omnivore,more frequently,electricity,private,hybrid,sometimes,243,frequently,6615,extra large,5,5,14,22,Yes,['Plastic'],"['Grill', 'Airfryer']",4178
underweight,female,omnivore,more frequently,natural gas,private,petrol,sometimes,255,rarely,5009,medium,4,21,42,16,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3223
obese,male,pescatarian,less frequently,natural gas,private,petrol,often,145,very frequently,7493,medium,1,10,34,5,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",6438
overweight,female,omnivore,more frequently,electricity,private,hybrid,sometimes,104,very frequently,4045,large,4,24,36,23,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3166
underweight,male,vegetarian,more frequently,electricity,private,petrol,often,126,frequently,6014,small,1,22,3,17,No,['Glass'],['Stove'],3397
overweight,male,omnivore,daily,coal,private,diesel,never,79,never,9089,extra large,2,5,23,16,Sometimes,"['Plastic', 'Glass']",['Microwave'],4144
underweight,female,pescatarian,twice a day,coal,private,electric,never,85,frequently,1018,small,2,17,43,24,Sometimes,['Paper'],"['Oven', 'Microwave']",1999
overweight,male,vegan,less frequently,wood,private,lpg,often,109,rarely,9953,large,6,18,40,22,Yes,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",5416
obese,male,pescatarian,less frequently,natural gas,private,lpg,often,232,very frequently,6415,extra large,1,9,42,16,Yes,"['Plastic', 'Glass']",['Microwave'],5267
underweight,male,pescatarian,twice a day,natural gas,private,petrol,sometimes,82,rarely,6229,medium,3,13,2,13,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",3234
underweight,female,omnivore,twice a day,wood,private,hybrid,never,91,frequently,4193,extra large,4,14,25,11,Yes,"['Glass', 'Metal']","['Stove', 'Microwave']",2263
obese,female,vegetarian,less frequently,coal,private,lpg,never,252,very frequently,135,medium,3,9,1,6,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",2373
normal,female,pescatarian,twice a day,coal,private,diesel,never,151,rarely,3983,medium,4,22,26,9,Yes,['Metal'],"['Oven', 'Grill', 'Airfryer']",2307
normal,female,pescatarian,daily,electricity,private,diesel,sometimes,156,frequently,8328,extra large,3,12,11,10,Sometimes,['Metal'],"['Oven', 'Grill', 'Airfryer']",3164
overweight,female,vegan,twice a day,natural gas,private,lpg,often,209,very frequently,8163,medium,2,2,38,6,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']",4615
overweight,male,pescatarian,daily,coal,private,electric,often,157,never,2728,extra large,3,24,38,0,No,['Glass'],[],2141
underweight,female,omnivore,less frequently,wood,private,electric,sometimes,275,very frequently,3695,medium,5,3,0,11,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1894
overweight,female,vegetarian,less frequently,wood,private,hybrid,sometimes,252,very frequently,7678,small,7,17,32,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3708
normal,female,vegan,twice a day,electricity,private,hybrid,never,193,rarely,3252,large,1,20,28,20,No,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",1422
obese,male,vegan,more frequently,electricity,private,petrol,never,115,rarely,3038,medium,2,9,19,23,No,['Plastic'],['Microwave'],2764
overweight,male,omnivore,less frequently,coal,private,lpg,sometimes,105,very frequently,7367,extra large,6,14,37,3,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",5696
obese,male,pescatarian,daily,wood,private,lpg,often,295,very frequently,6738,large,4,2,43,16,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",6355
overweight,male,pescatarian,more frequently,coal,private,petrol,never,164,never,5067,small,1,12,4,15,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2983
underweight,male,pescatarian,twice a day,natural gas,private,diesel,sometimes,247,never,6972,large,1,12,13,23,Yes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",2632
obese,female,vegan,more frequently,wood,private,diesel,sometimes,274,frequently,9351,medium,3,11,3,11,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],3844
normal,female,omnivore,daily,natural gas,private,lpg,sometimes,61,frequently,9811,large,3,16,24,11,Yes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",3898
underweight,male,pescatarian,less frequently,coal,private,hybrid,never,284,never,5618,small,6,3,12,18,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",1758
overweight,female,omnivore,twice a day,coal,private,petrol,never,198,rarely,5872,large,3,21,24,7,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3627
obese,female,pescatarian,twice a day,natural gas,private,electric,often,299,frequently,1921,large,2,5,15,5,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1892
underweight,female,vegan,less frequently,electricity,private,lpg,never,158,frequently,4730,small,4,23,19,22,Yes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2210
obese,male,omnivore,less frequently,electricity,private,electric,never,153,frequently,9149,large,5,4,23,20,Sometimes,"['Paper', 'Glass']",['Oven'],2260
underweight,female,pescatarian,twice a day,wood,private,petrol,never,259,rarely,3962,small,6,16,44,23,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2799
underweight,female,vegan,daily,natural gas,private,petrol,sometimes,181,rarely,2622,large,4,15,0,11,No,"['Paper', 'Glass']","['Oven', 'Microwave']",1782
overweight,female,vegan,twice a day,coal,private,electric,sometimes,122,frequently,6933,large,7,6,42,22,Sometimes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2790
overweight,male,vegan,twice a day,natural gas,private,hybrid,often,82,very frequently,2314,extra large,5,13,8,17,No,[],"['Oven', 'Microwave']",3816
obese,male,omnivore,more frequently,coal,private,lpg,often,276,rarely,9857,extra large,6,15,21,2,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",6233
obese,female,pescatarian,twice a day,coal,private,petrol,sometimes,228,frequently,2799,medium,5,7,16,9,Yes,['Plastic'],['Oven'],3363
underweight,female,vegetarian,twice a day,coal,private,petrol,never,69,very frequently,9947,medium,3,11,43,16,Sometimes,"['Glass', 'Metal']",['Microwave'],5557
underweight,female,vegetarian,twice a day,coal,private,petrol,sometimes,154,rarely,8270,extra large,4,10,18,8,Sometimes,"['Paper', 'Metal']",['Microwave'],3751
underweight,female,pescatarian,more frequently,electricity,private,electric,often,57,very frequently,5589,medium,2,24,41,16,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2056
normal,female,vegetarian,daily,wood,private,petrol,often,239,very frequently,5562,small,7,4,15,11,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven']",3969
underweight,male,omnivore,more frequently,coal,private,electric,sometimes,210,rarely,3632,small,7,22,18,19,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",2014
obese,female,pescatarian,less frequently,electricity,private,hybrid,sometimes,133,frequently,2991,extra large,1,10,5,6,Sometimes,['Plastic'],[],1740
normal,female,pescatarian,more frequently,wood,private,hybrid,sometimes,247,very frequently,8099,small,1,13,0,18,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",2924
obese,female,vegetarian,more frequently,electricity,private,lpg,often,218,rarely,2683,extra large,3,3,2,4,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],1656
overweight,male,vegan,more frequently,natural gas,private,hybrid,sometimes,104,very frequently,6802,extra large,4,5,21,22,No,"['Paper', 'Plastic', 'Metal']",['Stove'],4154
obese,female,pescatarian,less frequently,coal,private,petrol,never,239,never,2336,small,1,20,43,16,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2400
normal,female,pescatarian,more frequently,wood,private,petrol,often,65,never,294,small,7,12,22,18,No,['Paper'],"['Stove', 'Microwave']",1299
overweight,male,vegetarian,twice a day,natural gas,private,lpg,often,61,very frequently,768,medium,4,23,30,9,Yes,"['Glass', 'Metal']",['Microwave'],2961
overweight,male,omnivore,more frequently,natural gas,private,lpg,sometimes,232,frequently,2264,small,6,5,35,23,No,['Paper'],['Stove'],3303
normal,male,omnivore,more frequently,wood,private,electric,sometimes,118,never,4327,large,2,20,30,2,Yes,"['Plastic', 'Metal']",[],1193
normal,male,vegan,twice a day,wood,private,hybrid,never,102,very frequently,2976,extra large,1,0,14,9,Sometimes,['Glass'],"['Stove', 'Oven']",2746
overweight,female,pescatarian,daily,electricity,private,petrol,often,115,frequently,1807,small,4,1,6,17,Yes,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1985
underweight,female,vegetarian,twice a day,wood,private,diesel,sometimes,258,rarely,8358,extra large,6,24,36,13,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",3301
overweight,male,vegetarian,less frequently,electricity,private,electric,never,203,frequently,2705,extra large,2,6,41,14,Yes,[],['Oven'],2080
underweight,male,vegan,daily,electricity,private,diesel,often,247,very frequently,9156,medium,1,0,10,17,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",4232
underweight,female,vegan,daily,coal,private,electric,never,268,never,6465,small,7,7,1,20,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave']",919
underweight,male,vegan,less frequently,natural gas,private,diesel,never,58,never,9198,small,4,5,33,23,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",3238
normal,male,omnivore,daily,wood,private,petrol,never,128,very frequently,7723,large,4,23,3,0,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",5279
normal,female,omnivore,twice a day,natural gas,private,petrol,never,71,frequently,3227,medium,7,16,47,23,No,"['Paper', 'Plastic']","['Grill', 'Airfryer']",3122
obese,female,omnivore,more frequently,wood,private,lpg,never,213,very frequently,8526,extra large,6,10,23,16,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']",5516
obese,female,vegan,twice a day,electricity,private,petrol,never,140,frequently,7363,large,6,0,20,7,Sometimes,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",4480
obese,male,vegan,less frequently,electricity,private,diesel,often,176,rarely,5794,small,2,6,18,16,Yes,[],"['Stove', 'Oven', 'Microwave']",2969
normal,female,vegetarian,more frequently,wood,private,petrol,often,280,very frequently,1126,small,3,20,47,21,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2803
underweight,male,vegan,less frequently,coal,private,petrol,often,69,never,11,large,6,22,3,1,Sometimes,"['Glass', 'Metal']",['Microwave'],1270
underweight,male,pescatarian,more frequently,coal,private,petrol,sometimes,130,frequently,1616,small,2,6,11,14,Yes,"['Glass', 'Metal']","['Stove', 'Microwave']",2143
underweight,female,pescatarian,twice a day,wood,private,diesel,sometimes,207,rarely,570,small,5,16,18,20,Yes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1265
underweight,male,pescatarian,more frequently,electricity,private,hybrid,often,212,rarely,3160,large,2,9,16,3,No,"['Plastic', 'Glass']","['Stove', 'Oven']",1688
underweight,female,omnivore,daily,wood,private,diesel,often,141,frequently,7321,medium,6,12,12,15,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2817
normal,female,vegan,twice a day,coal,private,hybrid,sometimes,251,rarely,4273,large,4,17,40,2,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",2386
underweight,female,vegan,daily,natural gas,private,petrol,often,263,rarely,5844,extra large,6,15,40,19,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3866
normal,male,pescatarian,daily,natural gas,private,lpg,never,293,very frequently,9280,large,2,21,37,8,Sometimes,"['Plastic', 'Glass']",['Microwave'],5238
obese,female,vegan,less frequently,coal,private,electric,sometimes,105,very frequently,5917,large,6,6,47,4,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",3328
normal,female,omnivore,twice a day,natural gas,private,diesel,never,134,rarely,3498,extra large,1,21,14,14,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",1697
normal,male,vegetarian,twice a day,electricity,private,hybrid,often,61,frequently,4023,extra large,5,16,35,6,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",2904
underweight,male,vegetarian,twice a day,electricity,private,lpg,never,240,never,7657,large,4,2,27,9,Yes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",3038
overweight,male,pescatarian,less frequently,wood,private,petrol,often,257,rarely,8406,medium,4,4,5,6,Sometimes,['Glass'],"['Grill', 'Airfryer']",4761
obese,female,vegan,daily,natural gas,private,diesel,never,159,rarely,4130,extra large,4,12,19,0,Yes,[],['Microwave'],2808
obese,male,vegan,less frequently,coal,private,electric,never,218,never,4004,medium,4,18,17,18,No,"['Plastic', 'Metal']","['Stove', 'Oven']",1674
overweight,male,pescatarian,daily,natural gas,private,electric,never,109,frequently,7726,small,3,2,42,5,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",2006
obese,female,vegetarian,daily,wood,private,petrol,sometimes,231,never,9324,small,7,6,23,5,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",4456
obese,female,vegan,less frequently,wood,private,diesel,never,239,very frequently,6317,small,2,24,46,9,Sometimes,"['Paper', 'Plastic']",[],4423
obese,female,omnivore,less frequently,coal,private,hybrid,often,101,frequently,159,large,3,23,19,2,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2155
obese,male,vegan,daily,natural gas,private,diesel,often,59,never,1272,medium,5,16,4,11,No,['Metal'],['Microwave'],1731
obese,male,omnivore,more frequently,wood,private,electric,sometimes,226,never,1123,large,2,16,8,11,Yes,"['Glass', 'Metal']","['Stove', 'Microwave']",1395
normal,female,omnivore,less frequently,electricity,private,hybrid,sometimes,280,rarely,1444,medium,5,12,10,9,No,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1454
overweight,male,vegetarian,more frequently,wood,private,hybrid,never,195,very frequently,1702,medium,7,9,29,4,Sometimes,['Glass'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3289
normal,female,pescatarian,twice a day,electricity,private,lpg,never,177,rarely,6906,large,4,4,26,20,No,['Paper'],"['Stove', 'Oven', 'Microwave']",3046
underweight,female,vegetarian,more frequently,wood,private,diesel,never,291,very frequently,9446,large,3,1,21,18,Sometimes,"['Paper', 'Glass']","['Grill', 'Airfryer']",4042
underweight,female,omnivore,daily,coal,private,diesel,never,254,frequently,4244,extra large,1,20,31,3,No,['Plastic'],"['Stove', 'Oven']",2894
normal,female,pescatarian,daily,coal,private,diesel,never,266,very frequently,2466,small,7,12,9,3,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2631
obese,female,pescatarian,more frequently,electricity,private,petrol,never,289,never,2388,large,3,22,39,2,No,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",2362
overweight,male,omnivore,less frequently,wood,private,lpg,never,139,very frequently,3400,small,6,10,0,23,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",3731
normal,male,vegan,twice a day,coal,private,diesel,sometimes,276,rarely,2451,small,7,20,14,3,Yes,"['Paper', 'Plastic']",[],2055
obese,male,pescatarian,twice a day,wood,private,electric,sometimes,112,very frequently,9197,medium,5,24,46,2,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",3270
underweight,male,vegetarian,daily,natural gas,private,diesel,never,80,rarely,3316,large,6,14,11,23,No,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",2458
obese,female,omnivore,less frequently,electricity,private,lpg,sometimes,267,frequently,6807,large,6,11,46,17,Sometimes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4709
normal,female,pescatarian,daily,electricity,private,lpg,sometimes,105,very frequently,7460,extra large,6,18,30,19,No,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",4264
underweight,female,vegan,more frequently,wood,private,electric,often,297,very frequently,5108,medium,3,5,0,23,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1975
underweight,male,vegetarian,less frequently,electricity,private,lpg,never,293,never,1452,extra large,4,6,18,24,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1619
obese,female,omnivore,more frequently,electricity,private,diesel,never,69,very frequently,5013,large,3,9,36,7,No,['Glass'],"['Oven', 'Microwave']",3961
normal,male,omnivore,daily,electricity,private,hybrid,sometimes,53,very frequently,2392,medium,4,10,34,2,No,"['Glass', 'Metal']","['Oven', 'Microwave']",2929
overweight,female,vegan,twice a day,electricity,private,hybrid,sometimes,102,never,3364,small,1,20,16,17,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1037
obese,male,omnivore,daily,coal,private,petrol,never,159,never,6372,small,1,22,4,19,Yes,"['Paper', 'Plastic', 'Metal']",['Microwave'],3737
obese,female,vegan,daily,coal,private,hybrid,often,240,very frequently,4354,extra large,1,16,44,1,Sometimes,[],[],3766
normal,male,pescatarian,more frequently,coal,private,diesel,often,270,never,4242,medium,5,17,9,23,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2859
underweight,male,pescatarian,less frequently,wood,private,electric,never,101,very frequently,1015,small,7,17,16,23,No,"['Plastic', 'Glass']","['Stove', 'Oven']",2506
underweight,male,pescatarian,more frequently,wood,private,lpg,never,194,never,5437,large,1,10,23,11,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2608
normal,female,vegan,more frequently,wood,private,lpg,never,283,frequently,5891,small,2,19,11,6,Yes,"['Paper', 'Metal']",['Stove'],2538
obese,female,omnivore,twice a day,coal,private,diesel,often,192,rarely,9487,small,7,24,18,9,Yes,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']",4261
obese,female,omnivore,more frequently,coal,private,petrol,often,134,very frequently,5737,extra large,4,11,4,24,Sometimes,[],"['Grill', 'Airfryer']",5565
underweight,male,omnivore,more frequently,electricity,private,hybrid,sometimes,168,rarely,6770,extra large,5,16,2,24,Yes,"['Paper', 'Plastic']",[],2459
obese,male,pescatarian,twice a day,coal,private,diesel,often,284,never,9523,extra large,2,11,35,3,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",4822
underweight,male,omnivore,more frequently,wood,private,petrol,often,282,rarely,5131,small,4,14,6,24,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",3153
underweight,female,vegetarian,more frequently,natural gas,private,electric,often,248,rarely,6685,large,7,6,10,10,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1372
normal,female,omnivore,more frequently,coal,private,lpg,never,241,never,58,small,3,12,22,19,No,"['Paper', 'Glass']",['Oven'],1372
overweight,female,vegetarian,more frequently,electricity,private,lpg,often,85,never,4717,large,3,13,4,18,No,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",2412
normal,male,vegan,more frequently,wood,private,electric,sometimes,136,very frequently,1187,small,6,20,18,9,Sometimes,"['Plastic', 'Glass']",['Oven'],2358
underweight,male,pescatarian,more frequently,natural gas,private,electric,sometimes,128,frequently,7195,extra large,3,17,23,8,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1899
normal,male,omnivore,daily,natural gas,private,electric,often,75,never,5476,large,4,6,37,22,Sometimes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1541
overweight,male,vegetarian,twice a day,electricity,private,diesel,sometimes,123,frequently,578,small,5,5,2,16,No,"['Paper', 'Glass', 'Metal']",['Stove'],1384
underweight,male,pescatarian,twice a day,electricity,private,hybrid,sometimes,76,rarely,8768,large,4,13,4,3,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2342
normal,female,vegetarian,less frequently,natural gas,private,electric,often,179,very frequently,4661,small,7,3,5,8,No,"['Paper', 'Glass']","['Stove', 'Microwave']",2002
obese,male,vegan,twice a day,natural gas,private,hybrid,never,221,frequently,8679,large,6,20,19,18,Yes,"['Plastic', 'Glass', 'Metal']",['Stove'],3891
normal,male,vegan,daily,coal,private,petrol,often,201,never,6761,small,1,17,41,7,Sometimes,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4016
obese,male,omnivore,more frequently,coal,private,hybrid,never,173,rarely,2076,extra large,6,10,20,15,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2967
overweight,female,pescatarian,less frequently,wood,private,lpg,never,186,frequently,2829,extra large,1,16,42,24,Yes,"['Paper', 'Glass']","['Stove', 'Oven']",2639
obese,female,omnivore,daily,electricity,private,petrol,often,144,never,6652,small,1,4,6,20,No,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3328
underweight,male,omnivore,daily,wood,private,electric,sometimes,294,never,1134,medium,4,21,17,20,Yes,"['Plastic', 'Glass']",['Stove'],1400
normal,male,vegetarian,twice a day,wood,private,electric,never,50,very frequently,646,medium,3,9,33,23,Sometimes,"['Glass', 'Metal']",['Stove'],2481
normal,female,pescatarian,daily,electricity,private,petrol,sometimes,180,very frequently,5210,extra large,2,2,13,19,Yes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",3326
